genus	in_phaz_set	phaz_count	known_phac
Novosphingobium	True	56	False
Novosphingopyxis	True	1	False
Oceanibacterium	True	1	False
Oceanicaulis	True	2	False
Oceanomicrobium	True	1	False
Oceanospirillum	True	1	False
Octadecabacter	True	2	False
Opacimonas	True	1	False
Oricola	True	2	False
Oryzicola	True	1	False
Ottowia	True	10	False
Oxalicibacterium	True	10	False
P52-10	True	2	False
PALSA-1003	True	5	False
PALSA-1004	True	1	False
PALSA-350	True	1	False
PALSA-894	True	4	False
PALSA-911	True	2	False
PBB1	True	20	False
PCRC01	True	4	False
PHCI01	True	2	False
PKWO01	True	2	False
PNAI01	True	1	False
PUIC01	True	1	False
PWQG01	True	1	False
Pacificimonas	True	1	False
Pacificispira	True	1	False
Paenactinomyces	True	1	False
Paenalcaligenes	True	2	False
Palsa-465	True	3	False
Palsa-883	True	1	False
Palsa-892	True	1	False
Pandoraea	True	38	False
Paraburkholderia	True	319	True
Paracandidimonas	True	1	False
Paracidovorax	True	12	False
Paracoccus	True	2	False
Paracraurococcus	True	1	False
Paralcaligenes	True	1	False
Paramesorhizobium	True	1	False
Parapontixanthobacter	True	1	False
Parapusillimonas	True	1	False
Pararheinheimera	True	1	False
Pararhizobium	True	5	False
Pararhodobacter	True	2	False
Pararhodospirillum	True	1	False
Pararobbsia	True	8	False
Parasphingopyxis	True	3	False
Parazoarcus	True	1	False
Paremcibacter	True	1	False
Paroceanicella	True	1	False
Parvibaculum	True	11	False
Parvularcula	True	2	False
Paucibacter	True	2	False
Paucibacter_A	True	14	False
Paucibacter_B	True	2	False
Paucimonas	True	11	False
Pelagibius	True	5	False
Pelomonas	True	40	False
Pernthalerella	True	15	False
Phaeospirillum	True	4	False
Phenylobacterium	True	9	False
Phosphoribacter	True	1	False
Phreatobacter	True	4	False
Phycobacter	True	1	False
Phyllobacterium	True	6	False
Pigmentiphaga	True	9	False
Pinirhizobacter	True	3	False
Pinisolibacter	True	1	False
Piscinibacter	True	20	False
Piscinibacterium	True	1	False
Pistricoccus	True	1	False
Planomonospora_A	True	1	False
Planosporangium	True	1	False
Plastoroseomonas	True	1	False
Poindextera	True	2	False
Polaromonas	True	109	False
Pollutimonas	True	2	False
Polymorphobacter_A	True	1	False
Polymorphobacter_B	True	3	False
Polynucleobacter	True	98	False
Ponticaulis	True	2	False
Pontixanthobacter	True	1	False
Prosthecodimorpha	True	1	False
Pseudaminobacter	True	2	False
Pseudaquabacterium	True	22	False
Pseudaquidulcibacter	True	1	False
Pseudochelatococcus	True	3	False
Pseudofulvimonas	True	4	False
Pseudogemmobacter	True	1	False
Pseudohoeflea	True	1	False
Pseudolabrys	True	73	False
Pseudoluteimonas	True	3	False
Pseudomarimonas	True	3	False
Pseudomonas	False	0	True
Pseudomonas_M	True	1	False
Pseudomonas_S	True	1	False
Pseudonocardia	True	3	False
Pseudooceanicola	True	1	False
Pseudorhodoferax	True	4	False
Pseudorhodoplanes	True	15	False
Pseudoroseomonas	True	4	False
Pseudotabrizicola	True	2	False
Pseudoxanthobacter	True	2	False
Pseudoxanthomonas	True	12	False
Pseudoxanthomonas_A	True	48	False
Pseudoxanthomonas_B	True	2	False
Puniceibacterium	True	1	False
Pusillimonas	True	3	False
Pusillimonas_C	True	3	False
Pusillimonas_D	True	1	False
QFOX01	True	4	False
QWPN01	True	1	False
Qipengyuania	True	7	False
Quisquiliibacterium	True	9	False
R-RK-3	True	3	False
RAM1	True	8	False
RBG-16-66-20	True	14	False
RDZH01	True	1	False
REEB506	True	1	False
REEB95	True	2	False
RFPW01	True	1	False
RFTU01	True	3	False
RGVT01	True	1	False
RH-AL1	True	3	False
RI-29	True	1	False
RI-34	True	5	False
RS62	True	1	False
RU20A	True	1	False
Ralstonia	True	29	True
Ramlibacter	True	44	False
Reyranella	True	36	False
Rhabdaerophilum	True	2	False
Rhabdothermincola_A	True	1	False
Rhizobacter	True	29	False
Rhizobium	True	20	False
Rhizobium_E	True	4	False
Rhizomicrobium	True	34	False
Rhizorhabdus	True	5	False
Rhizorhapis	True	2	False
Rhodanobacter	True	28	False
Rhodanobacter_A	True	1	False
Rhodobacter	True	5	False
Rhodoblastus	True	10	False
Rhodoferax	True	31	False
Rhodoferax_A	True	4	False
Rhodoferax_B	True	8	False
Rhodoferax_D	True	4	False
Rhodoligotrophos	True	1	False
Rhodomicrobium	True	9	False
Rhodophyticola	True	1	False
Rhodopila	True	16	False
Rhodoplanes	True	4	False
Rhodopseudomonas	True	6	False
Rhodopseudomonas_A	True	1	False
Rhodospira	True	1	False
Rhodovulum	True	1	False
Rivibacter	True	2	False
Robbsia	True	3	False
Roseateles	True	23	False
Roseateles_B	True	6	False
Roseateles_C	True	1	False
Roseateles_D	True	1	False
Roseateles_E	True	2	False
Roseiarcus	True	53	False
Roseibium	True	8	False
Roseitalea	True	2	False
Roseobacter	True	1	False
Roseomonas	True	1	False
Rs1	True	1	False
Rubrimonas	True	1	False
Rubrivivax	True	107	False
Rudaea	True	36	False
Ruegeria	True	3	False
Rugamonas	True	71	False
Rugosimonospora	True	2	False
S144-23	True	1	False
SBBV01	True	2	False
SCGC-AG-212-J23	True	16	False
SCQX01	True	2	False
SCTK01	True	2	False
SG-bin9	True	1	False
SG8-39	True	3	False
SG8-40	True	1	False
SHVO01	True	6	False
SHVR01	True	1	False
SHXO01	True	18	False
SHXR01	True	1	False
SYIM01	True	6	False
SZAS-79	True	5	False
SZUA-430	True	6	False
SZUA-5	True	1	False
Saccharopolyspora	True	1	False
Saccharospirillum	True	1	False
Salinisphaera	True	1	False
Salipiger	True	6	False
Sandaracinobacteroides	True	1	False
Sandarakinorhabdus	True	5	False
Schauerella	True	2	False
Schlegelella_A	True	15	False
Scleromatobacter	True	10	False
Sedimenticola	True	3	False
Seohaeicola	True	2	False
Seohaeicola_A	True	2	False
Serpentinimonas	True	1	False
Shinella	True	2	False
Simiduia	True	1	False
Simplicispira	True	17	False
